crypto,date,close,log_return,open,high,low,volume,target_7d,vol_30,sma,ema,momentum,cci,regime_label
BNBUSDT,2020-07-05,15.4885,-0.004271459593897742,15.5579,15.6135,15.1,1120649.91,0.16677045935364188,0.020191450271232002,15.673307142857142,15.671511149867351,-0.488999999999999,-53.85680136179935,0
BNBUSDT,2020-07-06,16.311,0.05174191376090764,15.4865,16.3496,15.4401,1606449.31,0.120760906538254,0.022627003297715373,15.659442857142858,15.756776329885039,-0.19409999999999883,88.27803999100993,0
BNBUSDT,2020-07-07,16.8048,0.029824833054480582,16.312,16.8757,16.0301,1880630.34,0.07308648381350347,0.023350264003503308,15.689085714285714,15.8965128192337,0.41499999999999915,196.51763668237828,0
BNBUSDT,2020-07-08,17.2819,0.027995151148774156,16.7995,17.455,16.5683,2271202.72,0.02023152317832677,0.023947163197291118,15.780878571428572,16.08123111000254,1.2851,236.51081747378205,0
BNBUSDT,2020-07-09,16.8274,-0.026651200803469166,17.2819,17.5,16.4088,1869273.67,0.019846439100251967,0.02441810536050767,15.846692857142857,16.180720295335536,0.9214000000000002,151.5886900078041,0
BNBUSDT,2020-07-10,17.3123,0.02840872130257921,16.8278,17.331,16.4438,2099193.57,-0.014235302152212359,0.0250017904042984,15.956900000000001,16.331597589290798,1.5429000000000013,126.37683572471624,0
BNBUSDT,2020-07-11,17.6205,0.017645765415655212,17.3133,17.6888,17.018,2318005.65,-0.027024007844397513,0.021431049538142177,16.135207142857144,16.503451244052027,2.4962999999999997,134.71675140685704,0
BNBUSDT,2020-07-12,18.2994,0.03780527547471424,17.6205,18.59,17.5928,2995977.41,-0.015641324751947128,0.022015455564003073,16.343864285714286,16.742911078178423,2.921199999999999,155.587269226413,0
BNBUSDT,2020-07-13,18.4046,0.0057323609455197655,18.3036,18.9999,17.7282,3228967.7,-0.05243038420710411,0.02198013564356158,16.553792857142856,16.964469601087966,2.9389999999999983,140.10118793384243,0
BNBUSDT,2020-07-14,18.079,-0.01784958967026995,18.4007,18.77,17.8266,2385481.97,-0.019577529561609186,0.022088269964010657,16.746307142857145,17.11307365427624,2.6952,110.12236338821825,0
BNBUSDT,2020-07-15,17.6351,-0.02485980948640254,18.079,18.1538,17.4194,1959582.73,0.025468065193729128,0.02251058935761291,16.87635714285714,17.182677167039408,1.8207000000000022,66.39381494028818,0
BNBUSDT,2020-07-16,17.1647,-0.02703628488154397,17.6351,17.7618,16.5473,2053439.44,0.08833880308448894,0.023144034910914355,17.00502142857143,17.180280211434155,1.8012999999999995,18.60014247553148,0
BNBUSDT,2020-07-17,17.0676,-0.005673019949885116,17.1647,17.4825,16.9354,1854764.1,0.11696243141118545,0.023172082520610628,17.132257142857146,17.165256183242935,1.781299999999998,10.05911161473829,0
BNBUSDT,2020-07-18,17.1507,0.0048570597234700585,17.0675,17.3247,16.8122,1687884.76,0.14486442451165482,0.0229825259813163,17.24625,17.163315358810543,1.5959000000000003,-8.676353449794131,0
BNBUSDT,2020-07-19,18.0154,0.049187958567164625,17.1542,18.098,16.89,2597680.63,0.08203985636560951,0.02434727706420998,17.42674285714286,17.27692664430247,2.5268999999999995,43.216527033264114,0
BNBUSDT,2020-07-20,17.4645,-0.031056698509637215,18.0166,18.34,17.235,2487505.49,0.12285158794842888,0.02516775034807411,17.509135714285712,17.30193642506214,1.153500000000001,33.96994752268568,0
BNBUSDT,2020-07-21,17.7285,0.015003264975224972,17.4645,17.9799,17.4,2110735.01,0.12918147670660796,0.025217968066649357,17.575114285714285,17.35881156838719,0.9237000000000002,28.184460939927845,0
BNBUSDT,2020-07-22,18.09,0.020185785268935774,17.7268,18.1151,17.45,2174379.2,0.09531017980432477,0.02482676164422229,17.632835714285715,17.456303359268897,0.8080999999999996,50.75155486088816,0
BNBUSDT,2020-07-23,18.75,0.03583445300921584,18.095,18.77,18.043,2393871.45,0.06303739501130412,0.025452156280628146,17.770164285714284,17.62879624469971,1.9225999999999992,142.04521960618962,0
BNBUSDT,2020-07-24,19.1853,0.0229506083768114,18.7508,19.55,18.235,2790281.46,0.07412770432854154,0.025069817680891136,17.903950000000002,17.83633007873975,1.873000000000001,172.62005317836423,0
BNBUSDT,2020-07-25,19.8242,0.03275905282393943,19.1878,20.0434,19.1451,2956369.76,0.08656737653833524,0.02542868989980015,18.061357142857144,18.101379401574448,2.2037000000000013,198.0582888814605,0
BNBUSDT,2020-07-26,19.5557,-0.013636609578880687,19.8196,20.49,19.2639,2857739.16,0.07076980140202505,0.025553345503728727,18.151092857142856,18.295288814697855,1.256300000000003,158.97990395677715,0
BNBUSDT,2020-07-27,19.7474,0.009755033073182151,19.5524,20.1999,18.4,3841364.91,0.11030890520641368,0.023822935814737458,18.247007142857143,18.488903639404807,1.3428000000000004,107.22486806613598,0
